dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,lag
DatasetB,0,0,26.499950053842205,0.020845613258272423,0.0006704320476508966,0.12775816346670255,0.1358943687332882,0.39553818373723226,0.0,0.19998934457867334,0.14428023297520554,1
DatasetB,0,0,,,,0.13080927133877965,0.6782602340358075,0.3952590173391963,0.0,0.08856625807712071,0.08194477177798021,10
DatasetB,0,0,,,,0.13541499362043669,0.711653695284329,0.3945567467039466,0.0,0.0919596272563381,0.08504912140164844,50
DatasetB,0,1,0.015379315316255082,70.01984153479377,0.16275557260104517,0.1402309491553537,0.010889364343783181,0.32036313281937745,0.07971962135410382,0.0,0.2573997965310455,1
DatasetB,0,1,,,,0.15855817305867195,0.5532652234152897,0.3201685105249278,0.0808568223868904,0.0,0.08319700124498164,10
DatasetB,0,1,,,,0.16244091781505354,0.5866586845966125,0.3196032140959623,0.09775411759733688,0.0,0.08114205385885986,50
DatasetB,0,2,0.3608835465139792,0.11876111883093392,90.01997142749434,0.12047154393470662,0.0557918477741568,0.22928028513937337,0.07853884051844573,0.08347351674398706,0.0,1
DatasetB,0,2,,,,0.12460677924504612,0.4282552186952818,0.22901401711638958,0.08078509621547614,0.080027517956347,0.0,10
DatasetB,0,2,,,,0.1301342745391752,0.461648679784512,0.22909770026773266,0.08671728835796833,0.08544426768673086,0.0,50
DatasetB,1,0,31.47151334951377,0.13930749756941008,0.027449673163821162,0.11347640382693464,0.2623491495109139,0.399846574128614,0.0,0.19045200502921622,0.1364864132996968,1
DatasetB,1,0,,,,0.11143037775119291,0.8365656871272038,0.39926422662768335,0.0,0.09128761342358471,0.08056978001417914,10
DatasetB,1,0,,,,0.10793013466150983,0.8416729304614752,0.39901864229968503,0.0,0.09198639881783865,0.0832415186315969,50
DatasetB,1,1,0.02461396786719768,62.91620660019952,0.6568617629317478,0.11872555944278573,0.13734913950890826,0.32288138472452615,0.08768549696225914,0.0,0.2657138927871934,1
DatasetB,1,1,,,,0.12823056311577283,0.7115656771071399,0.32269049588574367,0.08687710766608348,0.0,0.08597092075126422,10
DatasetB,1,1,,,,0.12245413631294223,0.7166729203601462,0.32264822190103354,0.08832264466540929,0.0,0.08586009250181048,50
DatasetB,1,2,0.027394877261713645,0.2510430154975938,105.77449977649572,0.12197970475754571,0.04630261002802194,0.22785947482640748,0.08453638166941291,0.08616623110328958,0.0,1
DatasetB,1,2,,,,0.127788278966536,0.461565671221356,0.2277245335422664,0.08335186449485565,0.09001700132121737,0.0,10
DatasetB,1,2,,,,0.12631592058281305,0.4666729145306134,0.2272688981202552,0.08837859048378993,0.09099407822917449,0.0,50
DatasetB,2,0,34.29756961037657,0.01730141494385641,0.0007168788244902136,0.1606293556952617,0.129894849587897,0.39891665205412385,0.0,0.18563514010678706,0.1520887397922277,1
DatasetB,2,0,,,,0.15021819087867527,0.7088438061071778,0.3986006651359347,0.0,0.09456237602915873,0.08698010411581292,10
DatasetB,2,0,,,,0.1519198532029414,0.7122839091818801,0.3982515094470127,0.0,0.09472418743166289,0.09663676679488287,50
DatasetB,2,1,0.09119663770447356,60.40762006775299,0.2712616348779926,0.1752258117574174,0.004894839572760934,0.32063143672880595,0.07473331704660535,0.0,0.2546266187611006,1
DatasetB,2,1,,,,0.178145591419404,0.5838437960944256,0.32071484498419645,0.09265600707351185,0.0,0.0825915671310824,10
DatasetB,2,1,,,,0.18286156144775928,0.587283899069445,0.32018225090151126,0.07958694598205884,0.0,0.0911812607283835,50
DatasetB,2,2,0.06704787481724343,0.1122362044638447,122.83708536248952,0.1781517302592959,0.063651390762134,0.22847290052143757,0.07979045226619474,0.08666356402842013,0.0,1
DatasetB,2,2,,,,0.1834689694746724,0.33384378603733045,0.22844764663463746,0.08906403413280861,0.08442782317478859,0.0,10
DatasetB,2,2,,,,0.18523763892700024,0.3372839000020351,0.22822549155389624,0.09140472638439467,0.08355078732002985,0.0,50
DatasetB,3,0,32.35278156244154,0.07621048896217002,0.013925497109493546,0.18897824286607784,0.0055950408979416055,0.393806638318268,0.0,0.18191429780929846,0.1472770077467287,1
DatasetB,3,0,,,,0.17691924734243036,0.57159654785159,0.3942872129109336,0.0,0.08932050989510376,0.08158691013827246,10
DatasetB,3,0,,,,0.1785721855664369,0.5575032549855854,0.3949651669747417,0.0,0.08197789617902362,0.08828186845729213,50
DatasetB,3,1,0.00044506908844340107,69.54487885874049,0.09522307191124252,0.18347986198945432,0.11940097583068887,0.32346033441258554,0.0836860063983016,0.0,0.2608025616142289,1
DatasetB,3,1,,,,0.1876570281812524,0.44659653782756165,0.32374456393169476,0.08776922856171465,0.0,0.08743224283877371,10
DatasetB,3,1,,,,0.19453119181002723,0.4325032448803503,0.3238298214958666,0.08148698059535775,0.0,0.08089136451390866,50
DatasetB,3,2,0.6935980653864816,0.7046652326766246,134.18696341776987,0.12138438352545997,0.049275326076133386,0.2285955361761136,0.08032698785388215,0.08063446122304896,0.0,1
DatasetB,3,2,,,,0.1299287322153565,0.44657653388228985,0.22862846477450036,0.08865064964666747,0.08712940058233487,0.0,10
DatasetB,3,2,,,,0.13226676598802495,0.4324832409206648,0.2285178739413392,0.08414907956461315,0.08561553226719365,0.0,50
DatasetB,4,0,33.977531550286315,0.0544501780401498,0.009823531782300315,0.18013144962979666,0.03520764381208885,0.404935027144238,0.0,0.19946879920422123,0.14298853358843044,1
DatasetB,4,0,,,,0.1719690659634721,0.5804794288757302,0.40459018604206304,0.0,0.0868557218292545,0.07952500831861853,10
DatasetB,4,0,,,,0.18192266998498302,0.5822786840910259,0.405279236497632,0.0,0.08786042917854608,0.08627142508110142,50
DatasetB,4,1,0.05733226451899189,63.708747734691634,0.20225565724434016,0.16144489423931618,0.03518164128150503,0.3241833678246069,0.08154627923458646,0.0,0.24335649267688075,1
DatasetB,4,1,,,,0.16872340028339225,0.5804694196680328,0.32381110086828935,0.08972858294470587,0.0,0.09007776197189576,10
