dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,lag
DatasetC,0,0,90.59822429539551,0.0084460321917842,0.0005981777293799571,0.08445333424113545,0.5053411386369654,0.49631240658319287,0.0,0.08612499306669186,0.08345534199314475,1
DatasetC,0,0,,,,0.06486654526384505,0.823665393011419,0.495989736723481,0.0,0.10150467204239133,0.08601158423085886,10
DatasetC,0,0,,,,0.06191583343172499,0.8277297647114408,0.4957663602774286,0.0,0.08628749260592894,0.08504920995998555,50
DatasetC,0,1,0.03466381743772136,70.92032562772056,0.013496357097856307,0.09230876177510583,0.38034112863496194,0.3781735532851759,0.0859029948833725,0.0,0.0782958378147014,1
DatasetC,0,1,,,,0.0896551406648036,0.698665382991379,0.3777320114887482,0.08236472962298214,0.0,0.11597155414089766,10
DatasetC,0,1,,,,0.09520262703891852,0.7027297546104319,0.3777225581866245,0.08298276605595012,0.0,0.08829244356545018,50
DatasetC,0,2,0.015190448992676079,0.04664727168339054,73.00822437143061,0.08477066779554712,0.13034112065014325,0.2159366005366789,0.09235370100849716,0.08970688832900109,0.0,1
DatasetC,0,2,,,,0.11131101710102775,0.44866537498886366,0.21602992333345689,0.08046747492450645,0.07614930053974378,0.0,10
DatasetC,0,2,,,,0.10983043343406693,0.45272974654211884,0.21560393438329173,0.08583595656988585,0.09289740994321916,0.0,50
DatasetC,1,0,115.74522320251543,0.33923203232156796,0.06184213413779502,0.08463938050876796,0.48689199717299675,0.5051411218300336,0.0,0.09186244218450623,0.07731246110800782,1
DatasetC,1,0,,,,0.0607778586003489,0.810765177119643,0.5055532504991078,0.0,0.10033338325901875,0.09085312850912608,10
DatasetC,1,0,,,,0.05911449898233912,0.8398764930955107,0.5063028513625778,0.0,0.07989741174111575,0.09158645513623354,50
DatasetC,1,1,0.005660718001414697,62.39021289966811,0.3353055363106178,0.09270472979853535,0.3618919871709932,0.38789252454598633,0.0924374775561545,0.0,0.0846815331481987,1
DatasetC,1,1,,,,0.09248027021774027,0.685765167099539,0.3881339581490659,0.09060733641892416,0.0,0.10823804062115627,10
DatasetC,1,1,,,,0.09578604988527836,0.7148764829943524,0.3888845898858041,0.09260849728547704,0.0,0.08401577283498973,50
DatasetC,1,2,0.03244597085341841,0.13181138361364794,84.80607040569478,0.08358978512877559,0.11189197916977345,0.2158540690283176,0.08553462527372391,0.08942173043392643,0.0,1
DatasetC,1,2,,,,0.11381335282763758,0.43576515908401225,0.21625648127633976,0.08197696632801676,0.0891103042824537,0.0,10
DatasetC,1,2,,,,0.10604430963032754,0.46487647491371314,0.21644441148730464,0.08917752649296506,0.07934688560707892,0.0,50
DatasetC,2,0,116.92825133261462,0.18474625330110156,0.03421468222899246,0.08597854931180707,0.4560263281776311,0.49404321107492877,0.0,0.09209436375964497,0.08789470007083633,1
DatasetC,2,0,,,,0.06202821928274414,0.7992275327403577,0.49387302117516896,0.0,0.09747827065349135,0.08914479618269988,10
DatasetC,2,0,,,,0.0638718789898895,0.8364846066027875,0.4933091341743444,0.0,0.0806126106302898,0.08279313962047796,50
DatasetC,2,1,0.09754881948163853,62.63185643156014,0.1529850384997857,0.08971990669505182,0.3310263181756278,0.37790994632270625,0.08049881912002954,0.0,0.09015678928387594,1
DatasetC,2,1,,,,0.09250460280288914,0.6742275227202535,0.3778687526842214,0.08635025471203495,0.0,0.11079805689743694,10
DatasetC,2,1,,,,0.10033678505926397,0.7114845965017849,0.37802571285267395,0.08210483323436835,0.0,0.08968369193552705,50
DatasetC,2,2,0.031133185051096995,0.10970474908473844,90.31548676891191,0.0815593521423673,0.08102631017449113,0.21564588208948202,0.08622487572627646,0.07949237315900426,0.0,1
DatasetC,2,2,,,,0.11125753834559592,0.4242275147045178,0.2155279369170999,0.08838254566324855,0.08514677253433511,0.0,10
DatasetC,2,2,,,,0.10860934136938438,0.46148458842156775,0.21567567999852416,0.08199663832197279,0.0845032375392587,0.0,50
DatasetC,3,0,116.03070784409326,0.8629771410615656,0.00042348908289378795,0.08158875077814035,0.48933164880539004,0.49930154222844536,0.0,0.09228610755185285,0.09234059259534266,1
DatasetC,3,0,,,,0.060075508442266994,0.8112917043661111,0.4992673193701585,0.0,0.09453528697455527,0.08036166636993203,10
DatasetC,3,0,,,,0.06272763893828233,0.8317593032759032,0.5004621129805337,0.0,0.08072304426611243,0.08241459596519807,50
DatasetC,3,1,0.06176572282601693,64.51591728270347,0.04522392326025369,0.090130461141424,0.3643316388033867,0.37886398700761514,0.08480597339761697,0.0,0.08461117405437557,1
DatasetC,3,1,,,,0.09013790397945859,0.6862916943460673,0.37885885432803457,0.08054334753458336,0.0,0.10523012301124757,10
DatasetC,3,1,,,,0.0963534971683858,0.7067592931747247,0.3795101048029095,0.08657879172068217,0.0,0.08381298958470662,50
DatasetC,3,2,0.07785088988261232,0.09468473873775868,87.9704456717429,0.08253510001149086,0.11433163080712055,0.21582740541054946,0.09105158452321538,0.08965557786554257,0.0,1
DatasetC,3,2,,,,0.11343606598091835,0.4362916863347448,0.21595726418947025,0.08120659160108312,0.07553787229493736,0.0,10
DatasetC,3,2,,,,0.1094504004360059,0.4567592851005124,0.21608159957888134,0.08222262635621735,0.08817767175746116,0.0,50
DatasetC,4,0,131.49481385803807,0.35773724810141516,0.029536337821039944,0.08279899635597152,0.46749770813198904,0.4959811804340225,0.0,0.08464413252648662,0.08524696124446907,1
