dataset,equation,v,d,pred_edges,pred_edges_lag,TP,FP,FN,TN,Precision,Recall,F1,TP_lag,FP_lag,FN_lag,TN_lag,Precision_lag,Recall_lag,F1_lag
synthetic-data-01-v1,01,1,3,2,2,2,0,0,4,1.0,1.0,1.0,2,0,0,118,1.0,1.0,1.0
synthetic-data-01-v2,01,2,3,2,2,2,0,0,4,1.0,1.0,1.0,2,0,0,118,1.0,1.0,1.0
synthetic-data-01-v3,01,3,3,2,2,2,0,0,4,1.0,1.0,1.0,2,0,0,118,1.0,1.0,1.0
synthetic-data-01-v4,01,4,3,2,2,2,0,0,4,1.0,1.0,1.0,2,0,0,118,1.0,1.0,1.0
synthetic-data-02-v1,02,1,3,3,3,3,0,0,3,1.0,1.0,1.0,3,0,0,117,1.0,1.0,1.0
synthetic-data-02-v2,02,2,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,3,1,0,116,0.75,1.0,0.8571428571428571
synthetic-data-02-v3,02,3,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,3,1,0,116,0.75,1.0,0.8571428571428571
synthetic-data-02-v4,02,4,3,3,3,3,0,0,3,1.0,1.0,1.0,3,0,0,117,1.0,1.0,1.0
synthetic-data-03-v1,03,1,3,3,3,3,0,0,3,1.0,1.0,1.0,0,3,4,113,0.0,0.0,0.0
synthetic-data-03-v2,03,2,3,3,3,2,1,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,4,113,0.0,0.0,0.0
synthetic-data-03-v3,03,3,3,2,2,2,0,1,3,1.0,0.6666666666666666,0.8,0,2,4,114,0.0,0.0,0.0
synthetic-data-03-v4,03,4,3,3,3,2,1,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,4,113,0.0,0.0,0.0
synthetic-data-04-v1,04,1,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,1,3,3,113,0.25,0.25,0.25
synthetic-data-04-v2,04,2,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,1,3,3,113,0.25,0.25,0.25
synthetic-data-04-v3,04,3,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,1,3,3,113,0.25,0.25,0.25
synthetic-data-04-v4,04,4,3,4,4,3,1,0,2,0.75,1.0,0.8571428571428571,1,3,3,113,0.25,0.25,0.25
synthetic-data-05-v1,05,1,6,6,6,2,4,4,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,5,5,589,0.16666666666666666,0.16666666666666666,0.16666666666666666
synthetic-data-05-v2,05,2,6,5,5,2,3,4,21,0.4,0.3333333333333333,0.3636363636363636,1,4,5,590,0.2,0.16666666666666666,0.1818181818181818
synthetic-data-05-v3,05,3,6,5,5,2,3,4,21,0.4,0.3333333333333333,0.3636363636363636,1,4,5,590,0.2,0.16666666666666666,0.1818181818181818
synthetic-data-05-v4,05,4,6,5,5,2,3,4,21,0.4,0.3333333333333333,0.3636363636363636,1,4,5,590,0.2,0.16666666666666666,0.1818181818181818
