dataset,src,dst,lag,max_te,te,p_value,statistic
brownian-data-y1_0,1,2,5.0,,,,
brownian-data-y2_0,1,2,1.0,,,,
sim-ex1,0,1,1.0,,,,
sim-ex2,0,1,1.0,,,,
sim-ex2,1,0,5.0,,,,
synthetic-data-01-v1,0,1,1.0,,,,
synthetic-data-01-v1,1,2,1.0,,,,
synthetic-data-01-v2,0,1,1.0,,,,
synthetic-data-01-v2,1,2,1.0,,,,
synthetic-data-01-v3,0,1,1.0,,,,
synthetic-data-01-v3,1,2,1.0,,,,
synthetic-data-01-v4,0,1,1.0,,,,
synthetic-data-01-v4,1,2,1.0,,,,
synthetic-data-02-v1,0,1,1.0,,,,
synthetic-data-02-v1,0,2,1.0,,,,
synthetic-data-02-v1,1,2,1.0,,,,
synthetic-data-02-v2,0,1,1.0,,,,
synthetic-data-02-v2,0,2,1.0,,,,
synthetic-data-02-v2,1,2,1.0,,,,
synthetic-data-02-v2,2,1,1.0,,,,
synthetic-data-02-v3,0,1,1.0,,,,
synthetic-data-02-v3,0,2,1.0,,,,
synthetic-data-02-v3,1,2,1.0,,,,
synthetic-data-02-v3,2,1,2.0,,,,
synthetic-data-02-v4,0,1,1.0,,,,
synthetic-data-02-v4,0,2,1.0,,,,
synthetic-data-02-v4,1,2,1.0,,,,
synthetic-data-03-v1,0,1,5.0,,,,
synthetic-data-03-v1,0,2,5.0,,,,
synthetic-data-03-v1,1,2,5.0,,,,
synthetic-data-03-v2,0,1,5.0,,,,
synthetic-data-03-v2,1,2,5.0,,,,
synthetic-data-03-v2,2,1,2.0,,,,
synthetic-data-03-v3,0,1,5.0,,,,
synthetic-data-03-v3,1,2,5.0,,,,
synthetic-data-03-v4,0,1,5.0,,,,
synthetic-data-03-v4,1,2,5.0,,,,
synthetic-data-03-v4,2,0,4.0,,,,
synthetic-data-04-v1,0,1,3.0,,,,
synthetic-data-04-v1,0,2,5.0,,,,
synthetic-data-04-v1,1,2,3.0,,,,
synthetic-data-04-v1,2,1,4.0,,,,
synthetic-data-04-v2,0,1,3.0,,,,
synthetic-data-04-v2,0,2,5.0,,,,
synthetic-data-04-v2,1,2,3.0,,,,
synthetic-data-04-v2,2,1,4.0,,,,
synthetic-data-04-v3,0,1,3.0,,,,
synthetic-data-04-v3,0,2,5.0,,,,
synthetic-data-04-v3,1,2,3.0,,,,
synthetic-data-04-v3,2,1,4.0,,,,
synthetic-data-04-v4,0,1,3.0,,,,
synthetic-data-04-v4,0,2,5.0,,,,
synthetic-data-04-v4,1,2,3.0,,,,
synthetic-data-04-v4,2,1,4.0,,,,
synthetic-data-05-v1,0,1,1.0,,,,
synthetic-data-05-v1,0,3,4.0,,,,
synthetic-data-05-v1,2,5,1.0,,,,
synthetic-data-05-v1,3,0,2.0,,,,
synthetic-data-05-v1,3,4,5.0,,,,
synthetic-data-05-v1,4,5,4.0,,,,
synthetic-data-05-v2,0,1,1.0,,,,
synthetic-data-05-v2,0,3,4.0,,,,
synthetic-data-05-v2,2,5,1.0,,,,
synthetic-data-05-v2,3,4,5.0,,,,
synthetic-data-05-v2,4,5,4.0,,,,
synthetic-data-05-v3,0,1,1.0,,,,
synthetic-data-05-v3,0,3,4.0,,,,
synthetic-data-05-v3,2,5,1.0,,,,
synthetic-data-05-v3,3,4,5.0,,,,
synthetic-data-05-v3,4,5,4.0,,,,
synthetic-data-05-v4,0,1,1.0,,,,
synthetic-data-05-v4,0,3,4.0,,,,
synthetic-data-05-v4,2,5,1.0,,,,
synthetic-data-05-v4,3,4,5.0,,,,
synthetic-data-05-v4,4,5,4.0,,,,
