dataset,tau_max,lag,count
synthetic-data-03-v1,5,5.0,3
synthetic-data-03-v1,10,5.0,1
synthetic-data-03-v1,10,7.0,1
synthetic-data-03-v1,10,9.0,1
synthetic-data-03-v1,15,7.0,1
synthetic-data-03-v1,15,12.0,1
synthetic-data-03-v1,15,15.0,1
synthetic-data-03-v1,20,7.0,1
synthetic-data-03-v1,20,12.0,1
synthetic-data-03-v1,20,15.0,1
synthetic-data-03-v2,5,5.0,2
synthetic-data-03-v2,5,2.0,1
synthetic-data-03-v2,10,7.0,1
synthetic-data-03-v2,10,9.0,1
synthetic-data-03-v2,15,7.0,1
synthetic-data-03-v2,15,12.0,1
synthetic-data-03-v2,15,15.0,1
synthetic-data-03-v2,20,7.0,1
synthetic-data-03-v2,20,12.0,1
synthetic-data-03-v2,20,15.0,1
synthetic-data-03-v3,5,5.0,2
synthetic-data-03-v3,10,9.0,2
synthetic-data-03-v3,10,7.0,1
synthetic-data-03-v3,15,7.0,1
synthetic-data-03-v3,15,12.0,1
synthetic-data-03-v3,15,15.0,1
synthetic-data-03-v3,20,7.0,1
synthetic-data-03-v3,20,12.0,1
synthetic-data-03-v3,20,15.0,1
synthetic-data-03-v4,5,5.0,2
synthetic-data-03-v4,10,7.0,1
synthetic-data-03-v4,10,9.0,1
synthetic-data-03-v4,15,7.0,1
synthetic-data-03-v4,15,12.0,1
synthetic-data-03-v4,15,15.0,1
synthetic-data-03-v4,20,7.0,1
synthetic-data-03-v4,20,12.0,1
synthetic-data-03-v4,20,15.0,1
synthetic-data-04-v1,5,3.0,2
synthetic-data-04-v1,5,4.0,1
synthetic-data-04-v1,5,5.0,1
synthetic-data-04-v1,10,3.0,1
synthetic-data-04-v1,10,6.0,1
synthetic-data-04-v1,15,3.0,1
synthetic-data-04-v1,15,6.0,1
synthetic-data-04-v1,20,3.0,1
synthetic-data-04-v1,20,6.0,1
synthetic-data-04-v2,5,3.0,2
synthetic-data-04-v2,5,4.0,1
synthetic-data-04-v2,5,5.0,1
synthetic-data-04-v2,10,3.0,1
synthetic-data-04-v2,10,6.0,1
synthetic-data-04-v2,15,3.0,1
synthetic-data-04-v2,15,6.0,1
synthetic-data-04-v2,20,3.0,1
synthetic-data-04-v2,20,6.0,1
synthetic-data-04-v3,5,3.0,2
synthetic-data-04-v3,5,4.0,1
synthetic-data-04-v3,5,5.0,1
synthetic-data-04-v3,10,3.0,1
synthetic-data-04-v3,10,6.0,1
synthetic-data-04-v3,15,3.0,1
synthetic-data-04-v3,15,6.0,1
synthetic-data-04-v3,20,3.0,1
synthetic-data-04-v3,20,6.0,1
synthetic-data-04-v4,5,3.0,2
synthetic-data-04-v4,5,4.0,1
synthetic-data-04-v4,5,5.0,1
synthetic-data-04-v4,10,3.0,1
synthetic-data-04-v4,10,6.0,1
synthetic-data-04-v4,15,3.0,1
synthetic-data-04-v4,15,6.0,1
synthetic-data-04-v4,20,3.0,1
synthetic-data-04-v4,20,6.0,1
