prefix,used_fdr,n_nodes,n_edges,vars_count_sum,max_te_lag_max,max_te_lag_mean,max_p_lag_max,max_p_lag_mean
synthetic-data-05-v2,0,6,7,8,3.0,1.8571428571428572,3.0,1.8571428571428572
synthetic-data-05-v3,0,6,7,8,3.0,2.142857142857143,3.0,2.142857142857143
synthetic-data-05-v1,0,6,6,7,3.0,1.6666666666666667,3.0,1.6666666666666667
synthetic-data-05-v4,0,6,6,7,3.0,1.8333333333333333,3.0,1.8333333333333333
hmr3_traj_important_features,0,6,5,10,3.0,2.2,3.0,1.8
synthetic-data-02-v2,0,3,4,4,2.0,1.25,2.0,1.25
synthetic-data-02-v1,0,3,3,3,1.0,1.0,1.0,1.0
synthetic-data-02-v3,0,3,3,3,1.0,1.0,1.0,1.0
synthetic-data-02-v4,0,3,3,3,1.0,1.0,1.0,1.0
synthetic-data-04-v3,0,3,3,3,3.0,2.6666666666666665,3.0,2.6666666666666665
brownian-data-y2_0,1,2,2,2,3.0,2.5,3.0,2.5
brownian-data-y3_0,1,2,2,4,3.0,2.5,3.0,2.0
synthetic-data-01-v1,0,3,2,2,1.0,1.0,1.0,1.0
synthetic-data-01-v2,0,3,2,2,1.0,1.0,1.0,1.0
synthetic-data-01-v3,0,3,2,2,1.0,1.0,1.0,1.0
synthetic-data-01-v4,0,3,2,2,1.0,1.0,1.0,1.0
brownian-data-y1_0,1,2,1,1,1.0,1.0,1.0,1.0
synthetic-data-03-v1,0,3,1,1,3.0,3.0,3.0,3.0
synthetic-data-03-v2,0,3,1,1,3.0,3.0,3.0,3.0
synthetic-data-03-v3,0,3,1,1,3.0,3.0,3.0,3.0
synthetic-data-03-v4,0,3,1,1,2.0,2.0,2.0,2.0
synthetic-data-04-v1,0,3,1,1,3.0,3.0,3.0,3.0
synthetic-data-04-v2,0,3,1,1,3.0,3.0,3.0,3.0
synthetic-data-04-v4,0,3,1,1,3.0,3.0,3.0,3.0
analytic-ex1,0,3,0,0,,,,
